name,qualifiedName,path,mark
clean.wzwPointsOfSale,wzwPointsOfSale,unknown,clean_dataset
manual.activationNational,activationNational,unknown,raw_dataset
clean.activationNational,activationNational,unknown,clean_dataset
clean.activationNationalRejected,activationNationalRejected,unknown,clean_dataset
manual.activationRegional,activationRegional,unknown,raw_dataset
clean.activationRegional,activationRegional,unknown,clean_dataset
clean.activationRegionalRejected,activationRegionalRejected,unknown,clean_dataset
manual.eraCoefficient,eraCoefficient,unknown,raw_dataset
clean.eraCoefficient,eraCoefficient,unknown,clean_dataset
clean.eraCoefficientRejected,eraCoefficientRejected,unknown,clean_dataset
manual.rangeAvailability,rangeAvailability,unknown,raw_dataset
clean.rangeAvailability,rangeAvailability,unknown,clean_dataset
clean.rangeAvailabilityRejected,rangeAvailabilityRejected,unknown,clean_dataset
clean.paybacksMassa,paybacksMassa,unknown,clean_dataset
clean.population,population,unknown,clean_dataset
clean.cooperationRenames,cooperationRenames,unknown,clean_dataset
manual.adWhitelist,adWhitelist,unknown,raw_dataset
yearLinks.goodDate,goodDate,unknown,raw_dataset
yearLinks.goodDateAppend,goodDateAppend,unknown,clean_dataset
yearLinks.blockers,blockers,unknown,clean_dataset
yearLinks.blockers,blockers,unknown,clean_dataset
yearLinks.goodDate,goodDate,unknown,clean_dataset
raw.adSellOut.year2021,adSellOut.year2021,unknown,raw_dataset
clean.adSellOut2021,adSellOut2021,unknown,clean_dataset
clean.adSellOutRejected2021,adSellOutRejected2021,unknown,clean_dataset
yearLink.goodDate,goodDate,unknown,raw_dataset
cleanLink,,unknown,clean_dataset
rejectedLink,,unknown,clean_dataset
clean.spaghettiChartByYear,spaghettiChartByYear,unknown,clean_dataset
clean.adInventory,adInventory,unknown,clean_dataset
clean.subChannelsByYear,subChannelsByYear,unknown,clean_dataset
clean.uploadDate,uploadDate,unknown,clean_dataset
raw.beadbarCodeScanLog,beadbarCodeScanLog,unknown,raw_dataset
clean.beadbarCodeScanLog,beadbarCodeScanLog,unknown,clean_dataset
manual.commercial.ihsCpi,commercial.ihsCpi,unknown,raw_dataset
clean.commercial.ihsCpi,commercial.ihsCpi,unknown,clean_dataset
clean.commercial.ihsCpiRejected,commercial.ihsCpiRejected,unknown,clean_dataset
manual.commercial.ihsGdp,commercial.ihsGdp,unknown,raw_dataset
clean.commercial.ihsGdp,commercial.ihsGdp,unknown,clean_dataset
clean.commercial.ihsGdpRejected,commercial.ihsGdpRejected,unknown,clean_dataset
manual.commercial.ihsMei,commercial.ihsMei,unknown,raw_dataset
clean.commercial.ihsMei,commercial.ihsMei,unknown,clean_dataset
clean.commercial.ihsMeiRejected,commercial.ihsMeiRejected,unknown,clean_dataset
manual.commercial.ihsPmi,commercial.ihsPmi,unknown,raw_dataset
clean.commercial.ihsPmi,commercial.ihsPmi,unknown,clean_dataset
clean.commercial.ihsPmiRejected,commercial.ihsPmiRejected,unknown,clean_dataset
manual.commercial.ihsVehicleParkDensity,commercial.ihsVehicleParkDensity,unknown,raw_dataset
clean.commercial.ihsVehicleParkDensity,commercial.ihsVehicleParkDensity,unknown,clean_dataset
clean.commercial.ihsVehicleParkDensityRejected,commercial.ihsVehicleParkDensityRejected,unknown,clean_dataset
manual.commercial.ihsVehiclePark,commercial.ihsVehiclePark,unknown,raw_dataset
clean.commercial.ihsVehiclePark,commercial.ihsVehiclePark,unknown,clean_dataset
clean.commercial.ihsVehicleParkRejected,commercial.ihsVehicleParkRejected,unknown,clean_dataset
