index,project_name,task_name,source_datasets,target_datasets,location
91,datalake-cleansing,Pneub2bTask,['raw.pneub2b'],['clean.pneub2b'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/pneub2b/Pneub2bTask.scala
92,datalake-cleansing,CleansingSellinTask,['manual.sellinPricing'],['clean.sellinPricing'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/sellin/CleansingSellinTask.scala
93,datalake-cleansing,CleansingTire24DailyTask,['raw.tire24DailyPricing'],['clean.tire24DailyPricing'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/tire24/daily/CleansingTire24DailyTask.scala
94,datalake-cleansing,CleansingTireOnlineCommercialTask,['raw.tireOnlineCommercial'],['clean.tireOnlineCommercial'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/tireonline/commercial/CleansingTireOnlineCommercialTask.scala
95,datalake-cleansing,CleansingTireOnlineConsumerTask,['raw.tireOnlineConsumer'],['clean.tireOnlineConsumer'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/tireonline/consumer/CleansingTireOnlineConsumerTask.scala
96,datalake-cleansing,Cleansing07zrTask,['raw.zero7zrPricing'],['clean.zero7zrPricing'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/zero7zr/Cleansing07zrTask.scala
97,datalake-cleansing,CarLookupTask,['manual.carLookup'],['clean.carLookup'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carlookup/CarLookupTask.scala
98,datalake-cleansing,CleansingABHCarParkTask,['v.raws'],"['v.cleans', 'v.dirtys']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/abh/CleansingABHCarParkTask.scala
99,datalake-cleansing,DenmarkCarParkTask,['manual.denmarkCarPark'],['clean.denmarkCarPark.by2019.link'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/denmark/DenmarkCarParkTask.scala
100,datalake-cleansing,CleansingExperianTirePark2018Task,['manual.experianTirePark.by2019'],"['clean.experianTirePark.by2019.link', 'clean.experianTirePark.by2019Rejected.link']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2018Task.scala
